SS_GROUP,Village,Surface,Agro_1,Agro_12,Agro_13,Agro_14,Agro_15,Agro_16,Agro_2,Agro_3,Agro_4,Agro_5,Agro_6,Agro_7,Agro_8,Agro_9
1,4352,11.7069,,,0.9657426896797383,,,,,,,,,0.03425731032026166,,
1,4353,8.64823,,,1.0,,,,,,,,,,,
1,4354,7.25187,,,1.0,,,,,,,,,,,
1,4355,10.7009,,,1.0,,,,,,,,,,,
1,4356,23.4667,,,1.0,,,,,,,,,,,
1,4357,8.5779,,,1.0,,,,,,,,,,,
1,4358,8.09864,,,1.0,,,,,,,,,,,
1,4359,8.08133,,,1.0,,,,,,,,,,,
1,4360,10.6011,,,1.0,,,,,,,,,,,
1,4361,17.9918,,,1.0,,,,,,,,,,,
1,4362,12.4921,,,1.0,,,,,,,,,,,
1,4363,10.5251,,,1.0,,,,,,,,,,,
1,4364,10.0556,,,0.7532085490908954,,,,,,,,,0.24679145090910465,,
1,4365,6.98664,,,1.0,,,,,,,,,,,
1,4366,16.7477,,,1.0,,,,,,,,,,,
1,4367,8.92595,,,1.0,,,,,,,,,,,
1,4368,22.9643,,,1.0,,,,,,,,,,,
1,4369,20.1112,,,1.0,,,,,,,,,,,
1,4370,19.9029,,,1.0,,,,,,,,,,,
1,4371,33.1994,,,1.0,,,,,,,,,,,
1,4372,8.63258,,,1.0,,,,,,,,,,,
1,4373,5.71664,,,1.0,,,,,,,,,,,
1,4374,14.1317,,,1.0,,,,,,,,,,,
1,4375,19.5424,,,1.0,,,,,,,,,,,
1,4376,10.7773,,,1.0,,,,,,,,,,,
1,4377,6.86759,,,1.0,,,,,,,,,,,
1,4378,9.77946,,,1.0,,,,,,,,,,,
1,4379,4.64992,,,1.0,,,,,,,,,,,
1,4380,9.67715,,,1.0,,,,,,,,,,,
1,4381,7.07364,,,1.0,,,,,,,,,,,
1,4382,6.07768,,,1.0,,,,,,,,,,,
1,4383,11.498,,,1.0,,,,,,,,,,,
1,4384,12.1691,,,1.0,,,,,,,,,,,
1,4385,10.1342,,,1.0,,,,,,,,,,,
1,4386,13.9252,,,1.0,,,,,,,,,,,
1,4387,11.283,,,1.0,,,,,,,,,,,
1,4388,8.34514,,,1.0,,,,,,,,,,,
1,4389,16.5299,,,1.0,,,,,,,,,,,
1,4390,14.0579,,,1.0,,,,,,,,,,,
1,4391,6.98174,,,1.0,,,,,,,,,,,
1,4392,9.47332,,,1.0,,,,,,,,,,,
1,4393,14.1742,,,1.0,,,,,,,,,,,
